Streek-GR Dijleland – Variant Leefdaal-Neerijse,routeyou-sgrdijlelandvar.gpx,1781593
Streek-GR Groene Gordel,routeyou-sgrgroenegordel.gpx,8204223
Streek-GR Groene Gordel –  Aanlooproute Huizingen,routeyou-sgrgghuizingen.gpx,8216694
Streek-GR Hageland,routeyou-streek-gr-hageland.gpx,2067796
Streek-GR Hageland – Aanlooproute Leuven,routeyou-streek-gr-hageland-aanlooproute-leuven.gpx,not mapped yet
Streek-GR Haspengouw,routeyou-sgrhaspengouw.gpx,5150605
Streek-GR Haspengouw – Noordelijke doorsteek,routeyou-sgrhaspengouwn.gpx,not mapped yet
Streek-GR Haspengouw – Variant Oost-West,routeyou-sgrhaspengouwvarow.gpx,not mapped yet
Streek-GR Haspengouw – Zuidelijke doorsteek,routeyou-sgrhaspengouwz.gpx,not mapped yet
Streek-GR Heuvelland,routeyou-sgrheuvelland.gpx,5543597
Streek-GR Kempen,routeyou-sgrkempen.gpx,9514644
Streek-GR Kempen – Aanlooproute Geel,routeyou-sgrkempengeel.gpx,9514643
Streek-GR Kempen – Aanlooproute Herentals,routeyou-sgrkempenherentals.gpx,3958805
Streek-GR Kempen – Variant Turnhout-Oostmalle,routeyou-sgrkempenvarto.gpx,163234
Streek-GR Kempen – Variant Winter,routeyou-sgrkempenvarwinter.gpx,9514642
Streek-GR Mol Om,routeyou-sgrmolom.gpx,7791375
Streek-GR Uilenspiegel,routeyou-sgruilenspiegel.gpx,2524951
Streek-GR Uilenspiegel – Krekenvariant,routeyou-sgruilenspiegelvar.gpx,not mapped yet
Streek-GR Vlaamse Ardennen,routeyou-sgrvlardennen.gpx,1286694
Streek-GR Vlaamse Ardennen – Aanlooproute Oudenaarde,routeyou-sgrvlardoudenaarde.gpx,not mapped yet
Streek-GR Waas- en Reynaertland,routeyou-sgrwaas-enreynaert.gpx,16904
Streek-GR Waas- en Reynaertland – Variant Lokeren-Daknam,routeyou-sgrwrvarlokeren.gpx,not mapped yet
