# work in progress
Official name;OSM ID;Parent relation y/n
E2 | Verbinding GR 5A - GR 565 | Kruibeke - Deurne;13638;n
GR 12 Amsterdam - Parijs | Vlaanderen
GR 122 Scheldeland
GR 126 Brussegem - Mariekerke
GR 128 Vlaanderenroute
GR 129 Dwars door België | Vlaanderen
GR 130 IJzer
GR 131 Brugse Ommeland - Ieperboog
GR 5 Noordzee - Middellandse Zee | Vlaanderen
GR 512 Brabantse Heuvelroute
GR 561 Kempen - Maaspad
GR 564 De Loonse Route
GR 565 Sniederspad
GR 5A Kustroute
GR 5A Wandelronde van Vlaanderen
Stads-GR Antwerpen Oost-West
Stads-GR Antwerpen Rondom
Streek-GR Dijleland
Streek-GR Groene Gordel
Streek-GR Hageland
Streek-GR Haspengouw
Streek-GR Heuvelland
Streek-GR Kempen
Streek-GR Mol Om
Streek-GR Uilenspiegel
Streek-GR Vlaamse Ardennen
Streek-GR Waas- en Reynaertland
